case_label,p,channel,baseline_nu_median,baseline_ci_low,baseline_ci_high,baseline_boundary_fraction,baseline_valid_fraction,masked_nu_median,masked_ci_low,masked_ci_high,masked_boundary_fraction,masked_valid_fraction,masked_ci_contains_1,paired_delta_median,paired_delta_ci_low,paired_delta_ci_high,dependency_affected_draw_fraction,failed_locked_target_cells
random_p080,0.8,binder_roa,1.1777390371084409,0.8915099327963333,1.335,0.3065,1.0,1.1777390371084593,0.8915099327963333,1.335,0.3065,1.0,True,0.0,-1.7298384946684568e-13,1.5995538227286897e-13,0.0,0
random_p080,0.8,xi_over_L,1.1974948252421815,0.943742199660673,1.335,0.304,1.0,1.197494825242159,0.9437421996606716,1.335,0.304,1.0,True,0.0,-1.010025396652736e-13,8.889000646661276e-14,0.0,0
random_p085,0.85,binder_roa,1.1901154802264575,0.908831366180926,1.235,0.413,1.0,1.189999586751026,0.908825899963335,1.235,0.414,0.999,True,-2.220446049250313e-16,-0.0013327245551211,0.0007005303169412,0.717,0
random_p085,0.85,xi_over_L,1.165308393794266,1.033063268465414,1.235,0.3595,1.0,1.164262435798467,1.0330473111726175,1.235,0.3505,0.999,False,-2.220446049250313e-16,-0.0002349376034013,3.785389155386288e-06,0.7105,0
random_p090,0.9,binder_roa,1.0580551707408654,0.8738002780148916,1.235,0.057,1.0,1.055825332093016,0.8740824007466084,1.235,0.0505,0.997,True,-5.177958468660648e-07,-0.0299612348751274,0.0024009294032605,1.0,0
random_p090,0.9,xi_over_L,1.1265133174307,1.0400440188213105,1.235,0.217,1.0,1.0824537185727283,0.9761136930853316,1.2348087501286684,0.031,0.997,True,-1.6569117265996525e-06,-0.2588863069146684,0.003532551246897,1.0,0
