case_label,p,primary_layer,primary_interpretation,asymmetric_shadow_status,asymmetric_joint_evidence_against_nu1,ess_source_mask_status,ess_source_mask_joint_evidence_against_nu1,allowed_final_statement
pristine_p100,1.0,SYMMETRIC_V321_V321_1_UNCHANGED,PRISTINE_NU1_COMPATIBLE,PRISTINE_DIAGNOSTIC_PASS,False,TARGET_ESS_WARNING_CONSERVATIVE_CONCLUSION_NOT_OVERTURNED,False,PRISTINE_PRIMARY_CALIBRATION_UNCHANGED
random_p080,0.8,SYMMETRIC_V321_V321_1_UNCHANGED,DILUTED_NU_NOT_IDENTIFIABLE,ROBUST_NONIDENTIFIABLE_LIMITED_RANGE,False,SOURCE_MASK_REMAINS_NONIDENTIFIABLE_OR_LIMITED_RANGE,False,NO_JOINT_EVIDENCE_AGAINST_NU1; PRIMARY_DECISION_UNCHANGED
random_p085,0.85,SYMMETRIC_V321_V321_1_UNCHANGED,DILUTED_NU_NOT_IDENTIFIABLE,REQUIRES_FULL_DECISION_REVIEW,False,SOURCE_MASK_REMAINS_NONIDENTIFIABLE_OR_LIMITED_RANGE,False,NO_JOINT_EVIDENCE_AGAINST_NU1; PRIMARY_DECISION_UNCHANGED
random_p090,0.9,SYMMETRIC_V321_V321_1_UNCHANGED,DILUTED_NU_NOT_IDENTIFIABLE,REQUIRES_FULL_DECISION_REVIEW,False,NO_JOINT_EVIDENCE_AGAINST_NU1_UNDER_SOURCE_MASK,False,NO_JOINT_EVIDENCE_AGAINST_NU1; PRIMARY_DECISION_UNCHANGED
