case_label,p,channel,symmetric_nu_median,asymmetric_nu_median,asymmetric_nu_ci_low,asymmetric_nu_ci_high,asymmetric_boundary_fraction,asymmetric_valid_fraction,asymmetric_ci_contains_1,shadow_status
random_p080,0.8,binder_roa,1.1777390371084409,1.1777392325136964,0.8915107088532864,1.45,0.1965,1.0,True,ROBUST_NONIDENTIFIABLE_LIMITED_RANGE
random_p080,0.8,xi_over_L,1.1974948252421815,1.1977055717153982,0.9437395091164772,1.45,0.208,1.0,True,ROBUST_NONIDENTIFIABLE_LIMITED_RANGE
random_p085,0.85,binder_roa,1.1901154802264575,1.1901155871257945,0.9088351769714124,1.45,0.076,1.0,True,REQUIRES_FULL_DECISION_REVIEW
random_p085,0.85,xi_over_L,1.165308393794266,1.1653082926761398,1.0330644306462011,1.45,0.0905,1.0,False,REQUIRES_FULL_DECISION_REVIEW
random_p090,0.9,binder_roa,1.0580551707408654,1.058056819071841,0.8737987274899595,1.2735154573670118,0.0,1.0,True,REQUIRES_FULL_DECISION_REVIEW
random_p090,0.9,xi_over_L,1.1265133174307,1.126513296455974,1.040044007349651,1.45,0.0285,1.0,False,REQUIRES_FULL_DECISION_REVIEW
pristine_p100,1.0,binder_roa,1.0146186124455596,1.0146183417407746,0.978548423920067,1.0460973259251565,0.0,1.0,True,PRISTINE_DIAGNOSTIC_PASS
pristine_p100,1.0,xi_over_L,1.0019765725664354,1.0019763768364656,0.9818577939602962,1.0271608163938857,0.0,1.0,True,PRISTINE_DIAGNOSTIC_PASS
