case_label,total_cells,failed_energy_cells,min_corrected_ESS_E,median_of_cell_median_ESS_E
pristine_p100,105,26,6.046766378769239,754.0435288990304
random_p080,85,13,8.84835630863036,822.6876074225213
random_p085,85,13,11.34427065791795,812.97156392473
random_p090,85,20,8.8422207260829,558.0347392202195
