case_label,channel,L,temperature_index,temperature,energy_cell_pass,failed_locked_target
random_p080,binder_roa,40,2,0.879963992799,True,False
random_p080,binder_roa,40,3,0.889963992799,True,False
random_p080,binder_roa,40,4,0.899963992799,True,False
random_p080,binder_roa,40,5,0.909963992799,True,False
random_p080,binder_roa,40,6,0.919963992799,True,False
random_p080,binder_roa,40,7,0.929963992799,True,False
random_p080,binder_roa,40,8,0.939963992799,True,False
random_p080,binder_roa,40,9,0.949963992799,True,False
random_p080,binder_roa,40,10,0.959963992799,True,False
random_p080,binder_roa,40,11,0.969963992799,True,False
random_p080,binder_roa,60,3,0.889963992799,True,False
random_p080,binder_roa,60,4,0.899963992799,True,False
random_p080,binder_roa,60,5,0.909963992799,True,False
random_p080,binder_roa,60,6,0.919963992799,True,False
random_p080,binder_roa,60,7,0.929963992799,True,False
random_p080,binder_roa,60,8,0.939963992799,True,False
random_p080,binder_roa,60,9,0.949963992799,True,False
random_p080,binder_roa,80,4,0.899963992799,True,False
random_p080,binder_roa,80,5,0.909963992799,True,False
random_p080,binder_roa,80,6,0.919963992799,True,False
random_p080,binder_roa,80,7,0.929963992799,True,False
random_p080,binder_roa,80,8,0.939963992799,True,False
random_p080,binder_roa,100,4,0.899963992799,True,False
random_p080,binder_roa,100,5,0.909963992799,True,False
random_p080,binder_roa,100,6,0.919963992799,True,False
random_p080,binder_roa,100,7,0.929963992799,True,False
random_p080,binder_roa,120,4,0.899963992799,True,False
random_p080,binder_roa,120,5,0.909963992799,True,False
random_p080,binder_roa,120,6,0.919963992799,True,False
random_p080,binder_roa,120,7,0.929963992799,True,False
random_p080,xi_over_L,40,2,0.879963992799,True,False
random_p080,xi_over_L,40,3,0.889963992799,True,False
random_p080,xi_over_L,40,4,0.899963992799,True,False
random_p080,xi_over_L,40,5,0.909963992799,True,False
random_p080,xi_over_L,40,6,0.919963992799,True,False
random_p080,xi_over_L,40,7,0.929963992799,True,False
random_p080,xi_over_L,40,8,0.939963992799,True,False
random_p080,xi_over_L,40,9,0.949963992799,True,False
random_p080,xi_over_L,40,10,0.959963992799,True,False
random_p080,xi_over_L,40,11,0.969963992799,True,False
random_p080,xi_over_L,60,3,0.889963992799,True,False
random_p080,xi_over_L,60,4,0.899963992799,True,False
random_p080,xi_over_L,60,5,0.909963992799,True,False
random_p080,xi_over_L,60,6,0.919963992799,True,False
random_p080,xi_over_L,60,7,0.929963992799,True,False
random_p080,xi_over_L,60,8,0.939963992799,True,False
random_p080,xi_over_L,60,9,0.949963992799,True,False
random_p080,xi_over_L,80,4,0.899963992799,True,False
random_p080,xi_over_L,80,5,0.909963992799,True,False
random_p080,xi_over_L,80,6,0.919963992799,True,False
random_p080,xi_over_L,80,7,0.929963992799,True,False
random_p080,xi_over_L,80,8,0.939963992799,True,False
random_p080,xi_over_L,100,4,0.899963992799,True,False
random_p080,xi_over_L,100,5,0.909963992799,True,False
random_p080,xi_over_L,100,6,0.919963992799,True,False
random_p080,xi_over_L,100,7,0.929963992799,True,False
random_p080,xi_over_L,120,4,0.899963992799,True,False
random_p080,xi_over_L,120,5,0.909963992799,True,False
random_p080,xi_over_L,120,6,0.919963992799,True,False
random_p080,xi_over_L,120,7,0.929963992799,True,False
random_p085,binder_roa,40,2,1.0399919984,True,False
random_p085,binder_roa,40,3,1.0499919984,True,False
random_p085,binder_roa,40,4,1.0599919984,True,False
random_p085,binder_roa,40,5,1.0699919984,True,False
random_p085,binder_roa,40,6,1.0799919984,True,False
random_p085,binder_roa,40,7,1.0899919984,True,False
random_p085,binder_roa,40,8,1.0999919984,True,False
random_p085,binder_roa,40,9,1.1099919984,True,False
random_p085,binder_roa,40,10,1.1199919984,True,False
random_p085,binder_roa,40,11,1.1299919984,True,False
random_p085,binder_roa,40,12,1.1399919984,True,False
random_p085,binder_roa,40,13,1.1499919984,True,False
random_p085,binder_roa,40,14,1.1599919984,True,False
random_p085,binder_roa,60,4,1.0599919984,True,False
random_p085,binder_roa,60,5,1.0699919984,True,False
random_p085,binder_roa,60,6,1.0799919984,True,False
random_p085,binder_roa,60,7,1.0899919984,True,False
random_p085,binder_roa,60,8,1.0999919984,True,False
random_p085,binder_roa,60,9,1.1099919984,True,False
random_p085,binder_roa,60,10,1.1199919984,True,False
random_p085,binder_roa,60,11,1.1299919984,True,False
random_p085,binder_roa,80,4,1.0599919984,True,False
random_p085,binder_roa,80,5,1.0699919984,True,False
random_p085,binder_roa,80,6,1.0799919984,True,False
random_p085,binder_roa,80,7,1.0899919984,True,False
random_p085,binder_roa,80,8,1.0999919984,True,False
random_p085,binder_roa,80,9,1.1099919984,True,False
random_p085,binder_roa,100,5,1.0699919984,True,False
random_p085,binder_roa,100,6,1.0799919984,True,False
random_p085,binder_roa,100,7,1.0899919984,True,False
random_p085,binder_roa,100,8,1.0999919984,True,False
random_p085,binder_roa,100,9,1.1099919984,True,False
random_p085,binder_roa,120,5,1.0699919984,True,False
random_p085,binder_roa,120,6,1.0799919984,True,False
random_p085,binder_roa,120,7,1.0899919984,True,False
random_p085,binder_roa,120,8,1.0999919984,True,False
random_p085,xi_over_L,40,2,1.0399919984,True,False
random_p085,xi_over_L,40,3,1.0499919984,True,False
random_p085,xi_over_L,40,4,1.0599919984,True,False
random_p085,xi_over_L,40,5,1.0699919984,True,False
random_p085,xi_over_L,40,6,1.0799919984,True,False
random_p085,xi_over_L,40,7,1.0899919984,True,False
random_p085,xi_over_L,40,8,1.0999919984,True,False
random_p085,xi_over_L,40,9,1.1099919984,True,False
random_p085,xi_over_L,40,10,1.1199919984,True,False
random_p085,xi_over_L,40,11,1.1299919984,True,False
random_p085,xi_over_L,40,12,1.1399919984,True,False
random_p085,xi_over_L,40,13,1.1499919984,True,False
random_p085,xi_over_L,40,14,1.1599919984,True,False
random_p085,xi_over_L,60,4,1.0599919984,True,False
random_p085,xi_over_L,60,5,1.0699919984,True,False
random_p085,xi_over_L,60,6,1.0799919984,True,False
random_p085,xi_over_L,60,7,1.0899919984,True,False
