case_label,bootstrap_index,channel,nu_replay,nu_frozen,nu_abs_diff,pb_replay,pb_frozen,pb_abs_diff,boundary_replay,boundary_frozen,valid_replay,valid_frozen,pass
random_p080,0,binder_roa,1.0069244544416975,1.0069244544416298,6.772360450213455e-14,0.005337590944317263,0.0053375909443174,1.3704315460216776e-16,False,False,True,True,True
random_p080,0,xi_over_L,1.0324276195988378,1.0324276195988284,9.325873406851315e-15,0.06492925370917023,0.0649292537091704,1.6653345369377348e-16,False,False,True,True,True
random_p080,999,binder_roa,1.090009740682404,1.090009740682404,0.0,0.007256324949171586,0.0072563249491715,8.586881206085195e-17,False,False,True,True,True
random_p080,999,xi_over_L,0.9950226216113731,0.9950226216113732,1.1102230246251565e-16,0.11622498333918177,0.1162249833391817,6.938893903907228e-17,False,False,True,True,True
random_p080,1999,binder_roa,1.035915413328591,1.0359154133286417,5.062616992290714e-14,0.0063284240598778,0.0063284240598777,9.974659986866641e-17,False,False,True,True,True
random_p080,1999,xi_over_L,1.020880146021615,1.020880146021615,0.0,0.07429615395590478,0.0742961539559044,3.7470027081099033e-16,False,False,True,True,True
random_p085,0,binder_roa,1.1979151724228723,1.1979151724228725,2.220446049250313e-16,0.006371088850595065,0.006371088850595,6.505213034913027e-17,False,False,True,True,True
random_p085,0,xi_over_L,1.1415409435734896,1.1415409435734896,0.0,0.04843690355115751,0.0484369035511575,1.3877787807814457e-17,False,False,True,True,True
random_p085,999,binder_roa,1.0925352142832288,1.0925352142832288,0.0,0.0066190711190217645,0.0066190711190217,6.418476861114186e-17,False,False,True,True,True
random_p085,999,xi_over_L,1.1153751365687197,1.1153751365687197,0.0,0.03734561316936758,0.0373456131693675,8.326672684688674e-17,False,False,True,True,True
random_p085,1999,binder_roa,1.0867293858321305,1.0867293858321303,2.220446049250313e-16,0.009650002981160803,0.0096500029811608,3.469446951953614e-18,False,False,True,True,True
random_p085,1999,xi_over_L,1.1258739785224967,1.1258739785224967,0.0,0.0533158395805464,0.0533158395805464,0.0,False,False,True,True,True
random_p090,0,binder_roa,0.9967405691160338,0.9967405691160338,0.0,0.008035266483188955,0.0080352664831889,5.551115123125783e-17,False,False,True,True,True
random_p090,0,xi_over_L,1.2349999999999999,1.235,2.220446049250313e-16,0.03874286373991625,0.0387428637399162,4.85722573273506e-17,True,True,True,True,True
random_p090,999,binder_roa,1.2100528214778612,1.2100528214778612,0.0,0.009655615954451663,0.0096556159544516,6.245004513516506e-17,False,False,True,True,True
random_p090,999,xi_over_L,1.1206688726423268,1.1206688726423268,0.0,0.02652708854264056,0.0265270885426405,6.245004513516506e-17,False,False,True,True,True
random_p090,1999,binder_roa,0.9554831769335339,0.955483176933534,1.1102230246251565e-16,0.014412529868444122,0.0144125298684441,2.2551405187698492e-17,False,False,True,True,True
random_p090,1999,xi_over_L,1.1956065124641253,1.1956065124641253,0.0,0.0582873204968046,0.0582873204968046,0.0,False,False,True,True,True
pristine_p100,0,binder_roa,1.0373019167143511,1.0373019167143511,0.0,0.00306994946185122,0.0030699494618512,1.9949319973733282e-17,False,False,True,True,True
pristine_p100,0,xi_over_L,0.989850487983467,0.989850487983467,0.0,0.020073010988621378,0.0200730109886213,7.632783294297951e-17,False,False,True,True,True
pristine_p100,999,binder_roa,1.041224538089813,1.041224538089813,0.0,0.003059416655516405,0.0030594166555164,5.204170427930421e-18,False,False,True,True,True
pristine_p100,999,xi_over_L,0.9924108075813401,0.99241080758134,1.1102230246251565e-16,0.023927097941470504,0.0239270979414705,3.469446951953614e-18,False,False,True,True,True
pristine_p100,1999,binder_roa,0.9979417471037048,0.9979417471037048,0.0,0.0019762515848763644,0.0019762515848763,6.461844948013606e-17,False,False,True,True,True
pristine_p100,1999,xi_over_L,1.0108328499371517,1.0108328499371515,2.220446049250313e-16,0.009218857391384557,0.0092188573913845,5.724587470723463e-17,False,False,True,True,True
