case_label,p,channel,n_bootstrap,baseline_nu_median,baseline_ci_low,baseline_ci_high,baseline_boundary_fraction,baseline_valid_fraction,baseline_ci_contains_1,masked_nu_median,masked_ci_low,masked_ci_high,masked_boundary_fraction,masked_valid_fraction,masked_identifiability_gate_pass,masked_ci_contains_1,paired_delta_median,paired_delta_ci_low,paired_delta_ci_high,dependency_affected_draw_fraction,max_failed_source_cells_used_in_one_draw,failed_locked_target_cells
pristine_p100,1.0,binder_roa,2000,1.0146186124455596,0.978544780958762,1.046098221139132,0.0,1.0,True,,,,1.0,0.0,False,False,,,,1.0,8,1
pristine_p100,1.0,xi_over_L,2000,1.0019765725664354,0.9820956939161819,1.0271589646263424,0.0,1.0,True,,,,1.0,0.0,False,False,,,,1.0,8,1
random_p080,0.8,binder_roa,2000,1.1777390371084409,0.8915099327963333,1.335,0.3065,1.0,True,1.1777390371084593,0.8915099327963333,1.335,0.3065,1.0,False,True,0.0,-1.7298384946684566e-13,1.5995538227286897e-13,0.0,0,0
random_p080,0.8,xi_over_L,2000,1.1974948252421815,0.943742199660673,1.335,0.304,1.0,True,1.197494825242159,0.9437421996606715,1.335,0.304,1.0,False,True,0.0,-1.0100253966527359e-13,8.889000646661276e-14,0.0,0,0
random_p085,0.85,binder_roa,2000,1.1901154802264575,0.9088313661809261,1.235,0.413,1.0,True,1.189999586751026,0.908825899963335,1.235,0.414,0.999,False,True,-2.220446049250313e-16,-0.0013327245551211825,0.0007005303169412233,0.717,3,0
random_p085,0.85,xi_over_L,2000,1.165308393794266,1.033063268465414,1.235,0.3595,1.0,False,1.164262435798467,1.0330473111726177,1.235,0.3505,0.999,False,False,-2.220446049250313e-16,-0.00023493760340134243,3.785389155386288e-06,0.7105,3,0
random_p090,0.9,binder_roa,2000,1.0580551707408654,0.8738002780148916,1.235,0.057,1.0,True,1.055825332093016,0.8740824007466084,1.235,0.0505,0.997,True,True,-5.177958468660648e-07,-0.029961234875127477,0.002400929403260525,1.0,4,0
random_p090,0.9,xi_over_L,2000,1.1265133174307,1.0400440188213103,1.235,0.217,1.0,False,1.0824537185727285,0.9761136930853316,1.2348087501286684,0.031,0.997,True,True,-1.6569117265996525e-06,-0.2588863069146684,0.003532551246897067,1.0,7,0
