case_label,p,channel,symmetric_nu_median,symmetric_nu_ci_low,symmetric_nu_ci_high,asymmetric_nu_median,asymmetric_nu_ci_low,asymmetric_nu_ci_high,symmetric_boundary_fraction,asymmetric_boundary_fraction,symmetric_valid_fraction,asymmetric_valid_fraction,asymmetric_identifiability_gate_pass
random_p080,0.8,binder_roa,1.1777390371084409,0.8915099327963333,1.335,1.1777392325136964,0.8915107088532864,1.45,0.3065,0.1965,1.0,1.0,False
random_p080,0.8,xi_over_L,1.1974948252421815,0.943742199660673,1.335,1.1977055717153982,0.9437395091164772,1.45,0.304,0.208,1.0,1.0,False
random_p085,0.85,binder_roa,1.1901154802264575,0.9088313661809261,1.235,1.1901155871257945,0.9088351769714125,1.45,0.413,0.076,1.0,1.0,True
random_p085,0.85,xi_over_L,1.165308393794266,1.033063268465414,1.235,1.1653082926761398,1.0330644306462011,1.45,0.3595,0.0905,1.0,1.0,True
random_p090,0.9,binder_roa,1.0580551707408654,0.8738002780148916,1.235,1.0580568190718407,0.8737987274899595,1.2735154573670118,0.057,0.0,1.0,1.0,True
random_p090,0.9,xi_over_L,1.1265133174307,1.0400440188213103,1.235,1.126513296455974,1.040044007349651,1.45,0.217,0.0285,1.0,1.0,True
pristine_p100,1.0,binder_roa,1.0146186124455596,0.978544780958762,1.046098221139132,1.0146183417407746,0.978548423920067,1.0460973259251563,0.0,0.0,1.0,1.0,True
pristine_p100,1.0,xi_over_L,1.0019765725664354,0.9820956939161819,1.0271589646263424,1.0019763768364656,0.9818577939602962,1.0271608163938855,0.0,0.0,1.0,1.0,True
