case_label,p,channel,n_bootstrap,symmetric_nu_median,symmetric_nu_ci_low,symmetric_nu_ci_high,asymmetric_nu_median,asymmetric_nu_ci_low,asymmetric_nu_ci_high,asymmetric_drop_nu_median,asymmetric_drop_nu_ci_low,asymmetric_drop_nu_ci_high,paired_asym_minus_sym_median,paired_asym_minus_sym_ci_low,paired_asym_minus_sym_ci_high,asymmetric_Lmin_drift_median,asymmetric_Lmin_drift_ci_low,asymmetric_Lmin_drift_ci_high,asymmetric_Lmin_drift_toward_one,asymmetric_Lmin_drift_significant_toward_one,symmetric_boundary_fraction,symmetric_valid_fraction,asymmetric_boundary_fraction,asymmetric_valid_fraction,asymmetric_identifiability_gate_pass,asymmetric_ci_contains_1,symmetric_feasible_lo,symmetric_feasible_hi,asymmetric_feasible_min,asymmetric_feasible_max,n_feasible_segments,segments_json,max_boundary_gate,min_valid_gate
random_p080,0.8,binder_roa,2000,1.1777390371084409,0.8915099327963333,1.335,1.1777392325136964,0.8915107088532864,1.45,1.45,1.0294423846168812,1.45,1.0137120672326638e-06,-3.041499113032309e-06,0.11499999999999999,0.18471685092298062,-0.02395637028603401,0.49746300080424716,False,False,0.3065,1.0,0.1965,1.0,False,True,0.665,1.335,0.665,1.45,1,"[[0.665,1.45]]",0.1,0.95
random_p080,0.8,xi_over_L,2000,1.1974948252421815,0.943742199660673,1.335,1.1977055717153982,0.9437395091164772,1.45,1.0495451356089822,0.7665011029710028,1.45,1.0235780938394612e-06,-2.887383111815911e-06,0.11499999999999999,-0.08983810425982935,-0.46421043156932934,0.24063201154828104,True,False,0.304,1.0,0.208,1.0,False,True,0.665,1.335,0.665,1.45,1,"[[0.665,1.45]]",0.1,0.95
random_p085,0.85,binder_roa,2000,1.1901154802264575,0.9088313661809261,1.235,1.1901155871257945,0.9088351769714125,1.45,1.1706149065786062,0.9006261610235844,1.45,1.6925095275288626e-06,-3.3804080763810695e-06,0.21499999999999986,0.0,-0.23189187032108277,0.24565590726188985,False,False,0.413,1.0,0.076,1.0,True,True,0.765,1.2349999999999999,0.765,1.45,1,"[[0.765,1.45]]",0.1,0.95
random_p085,0.85,xi_over_L,2000,1.165308393794266,1.033063268465414,1.235,1.1653082926761398,1.0330644306462011,1.45,1.1522832893637962,0.9638846513238116,1.45,1.1942540011355973e-06,-3.1819401736965515e-06,0.21499999999999986,-0.015767658943008245,-0.33752682683774443,0.33393309394081533,True,False,0.3595,1.0,0.0905,1.0,True,False,0.765,1.2349999999999999,0.765,1.45,1,"[[0.765,1.45]]",0.1,0.95
random_p090,0.9,binder_roa,2000,1.0580551707408654,0.8738002780148916,1.235,1.0580568190718407,0.8737987274899595,1.2735154573670118,0.9615232824043101,0.7979964225615676,1.1535253479785397,1.7168559729441313e-07,-3.4659599085495874e-06,0.038515457367011584,-0.08956194297229825,-0.2153528482682264,0.03341063085703706,True,False,0.057,1.0,0.0,1.0,True,True,0.765,1.2349999999999999,0.765,1.45,1,"[[0.765,1.45]]",0.1,0.95
random_p090,0.9,xi_over_L,2000,1.1265133174307,1.0400440188213103,1.235,1.126513296455974,1.040044007349651,1.45,1.2064141453738997,1.0341431916985788,1.45,6.629621140952224e-07,-3.5172418661466587e-06,0.21499999999999986,0.05821084810826349,-0.16126381578093954,0.2963750120814992,False,False,0.217,1.0,0.0285,1.0,True,False,0.765,1.2349999999999999,0.765,1.45,1,"[[0.765,1.45]]",0.1,0.95
pristine_p100,1.0,binder_roa,2000,1.0146186124455596,0.978544780958762,1.046098221139132,1.0146183417407746,0.978548423920067,1.0460973259251563,1.0096640185214816,0.9639572752838504,1.0534718585504497,-2.374756324918792e-08,-3.6470214195616356e-06,3.4756708471028703e-06,-0.0035066783652664135,-0.02863544042176745,0.020272583840447684,True,False,0.0,1.0,0.0,1.0,True,True,0.795,1.205,0.795,1.45,1,"[[0.795,1.45]]",0.1,0.95
pristine_p100,1.0,xi_over_L,2000,1.0019765725664354,0.9820956939161819,1.0271589646263424,1.0019763768364656,0.9818577939602962,1.0271608163938855,1.0061928346655489,0.9859129587419931,1.0308085778990268,-2.6866477376152886e-08,-3.4629411363951147e-06,3.459196067634448e-06,0.003324252054522525,-0.00876571518005578,0.019468208556289994,False,False,0.0,1.0,0.0,1.0,True,True,0.795,1.205,0.795,1.45,1,"[[0.795,1.45]]",0.1,0.95
