case_label,p,channel,nu_central_full,nu_central_drop_smallest,nu_bootstrap_median,nu_bootstrap_ci_low,nu_bootstrap_ci_high,nu_drop_median,nu_drop_ci_low,nu_drop_ci_high,paired_drift_median,paired_drift_ci_low,paired_drift_ci_high,paired_drift_toward_one,paired_drift_significant_toward_one,tc_choice_systematic,central_interpolation_xwindow_systematic,systematic_radius,nu_robustness_low,nu_robustness_high,bootstrap_boundary_fraction,bootstrap_valid_fraction,robustness_note
random_p080,0.8,binder_roa,1.147914713235949,1.45,1.1777390371084409,0.8915099327963333,1.335,1.45,1.0294423846168812,1.45,0.1847180086029636,-8.717755691489336e-06,0.49746100475090177,False,False,0.034194327483003883,0.010118010929816679,0.1847180086029636,0.7067919241933697,1.5197180086029636,0.3065,1.0,bootstrap percentile CI plus separate conservative systematic envelope; envelope is not a confidence interval
random_p080,0.8,xi_over_L,1.1561006104325526,0.9906467690980195,1.1974948252421815,0.943742199660673,1.335,1.0495451356089822,0.7665011029710028,1.45,-0.08526463102776949,-0.41815222534786134,0.2406326691866354,True,False,0.03292758413296454,0.016651774680301212,0.08526463102776949,0.8584775686329035,1.4202646310277696,0.304,1.0,bootstrap percentile CI plus separate conservative systematic envelope; envelope is not a confidence interval
random_p085,0.85,binder_roa,1.1846775107169165,1.1415520542756854,1.1901154802264575,0.9088313661809261,1.235,1.1706167251423345,0.9006272795915407,1.37,0.03307872482565977,-0.1999614766264753,0.21645810100515017,False,False,0.014160029169259625,0.0401143529389274,0.0401143529389274,0.8687170132419987,1.2751143529389275,0.413,1.0,bootstrap percentile CI plus separate conservative systematic envelope; envelope is not a confidence interval
random_p085,0.85,xi_over_L,1.1666733820457638,1.1369264688365066,1.165308393794266,1.033063268465414,1.235,1.15228265612541,0.9638856799614164,1.37,-3.0137334781077385e-06,-0.23734020536055905,0.27920344586936646,True,False,0.013969562869787788,0.1760949096704263,0.1760949096704263,0.8569683587949877,1.4110949096704264,0.3595,1.0,bootstrap percentile CI plus separate conservative systematic envelope; envelope is not a confidence interval
random_p090,0.9,binder_roa,1.0545471644558397,0.9624132184201722,1.0580551707408654,0.8738002780148916,1.235,0.9615225615153731,0.7979967706221758,1.1535260042423556,-0.08728430689839983,-0.21234223500764562,0.03365995236755441,True,False,0.023056060368221942,0.022040900347760184,0.08728430689839983,0.7865159711164917,1.3222843068983998,0.057,1.0,bootstrap percentile CI plus separate conservative systematic envelope; envelope is not a confidence interval
random_p090,0.9,xi_over_L,1.0806986955963775,1.21831244171387,1.1265133174307,1.0400440188213103,1.235,1.2065911539666985,1.0341425931168202,1.37,0.07963167434271567,-0.1398114028749356,0.2725706604405303,False,False,0.01568811234838452,0.04236690594034709,0.07963167434271567,0.9604123444785946,1.3146316743427158,0.217,1.0,bootstrap percentile CI plus separate conservative systematic envelope; envelope is not a confidence interval
pristine_p100,1.0,binder_roa,1.018624467415734,1.0171485809178198,1.0146186124455596,0.978544780958762,1.046098221139132,1.0096661632852117,0.9639584146571885,1.0534712292877264,-0.003526525404047187,-0.028634980148932416,0.020271569590786253,True,False,0.00831065329438907,0.005666388463500649,0.00831065329438907,0.9702341276643729,1.0544088744335212,0.0,1.0,bootstrap percentile CI plus separate conservative systematic envelope; envelope is not a confidence interval
pristine_p100,1.0,xi_over_L,1.000408714978319,1.0022823879388425,1.0019765725664354,0.9820956939161819,1.0271589646263424,1.0061926242042043,0.9859133226441317,1.0308105045373224,0.003324957624625202,-0.008761332737306948,0.01946929636174039,False,False,0.006022369590590715,0.004313482286526837,0.006022369590590715,0.9760733243255912,1.0331813342169331,0.0,1.0,bootstrap percentile CI plus separate conservative systematic envelope; envelope is not a confidence interval
