case_label,p,decision,reason,pristine_calibration_pass,tc_channel_ci_overlap,binder_robustness_contains_1,xi_robustness_contains_1,binder_nominal_bootstrap_ci_contains_1,xi_nominal_bootstrap_ci_contains_1,binder_significant_drift_toward_1,xi_significant_drift_toward_1,primary_boundary_gate_pass,primary_validity_gate_pass,scope
random_p080,0.8,INCONCLUSIVE_LIMITED_RANGE,primary_boundary_fraction_exceeds_0.100,True,True,True,True,True,True,False,False,False,True,No decision is proof of a new universality class; logarithmic/finite-size corrections remain a competing explanation.
random_p085,0.85,INCONCLUSIVE_LIMITED_RANGE,primary_boundary_fraction_exceeds_0.100,True,True,True,True,True,False,False,False,False,True,No decision is proof of a new universality class; logarithmic/finite-size corrections remain a competing explanation.
random_p090,0.9,INCONCLUSIVE_LIMITED_RANGE,primary_boundary_fraction_exceeds_0.100,True,True,True,True,True,False,False,False,False,True,No decision is proof of a new universality class; logarithmic/finite-size corrections remain a competing explanation.
pristine_p100,1.0,NU1_COMPATIBLE,exact_pristine_calibration_pass,True,True,True,True,True,True,False,False,True,True,No decision is proof of a new universality class; logarithmic/finite-size corrections remain a competing explanation.
